Year,Data type,Sex,NHHA priority cohort,NSW,Vic,Qld,WA,SA,Tas,ACT,NT,National(a)
2023-24,Proportion of clients that avoided homelessness,Females,Women and children affected by family and domestic violence(a),77.2,80.6,83.2,81.1,85.2,74.1,65.2,80.6,80.1
2023-24,Proportion of clients that avoided homelessness,Females,Children and young people,79.1,77.6,79.9,79.6,81.6,n.p.,n.p.,82.4,78.7
2023-24,Proportion of clients that avoided homelessness,Females,Indigenous Australians,80.8,76.6,81.5,79.9,82.7,n.p.,n.p.,80.4,79.3
2023-24,Proportion of clients that avoided homelessness,Females,People exiting institutions and care into homelessness,60.5,50.6,59.2,n.p.,63.3,n.p.,n.p.,n.p.,54.5
2023-24,Proportion of clients that avoided homelessness,Females,Older people,89.4,89.9,94.3,89.1,86.7,n.p.,n.p.,84.6,89.6
2023-24,Proportion of clients that avoided homelessness,Males,Women and children affected by family and domestic violence(a),80.2,80.7,84.7,76.2,90.6,n.p.,n.p.,82.9,81.1
2023-24,Proportion of clients that avoided homelessness,Males,Children and young people,81.9,78.6,82.7,80.9,82.5,n.p.,n.p.,84.5,80.4
2023-24,Proportion of clients that avoided homelessness,Males,Indigenous Australians,81.2,70.5,79.6,81.6,85.3,n.p.,n.p.,80.7,78.2
2023-24,Proportion of clients that avoided homelessness,Males,People exiting institutions and care into homelessness,53.3,70.0,55.9,n.p.,72.1,n.p.,n.p.,n.p.,66.8
2023-24,Proportion of clients that avoided homelessness,Males,Older people,85.7,86.4,87.8,91.4,80.3,n.p.,n.p.,n.p.,86.2
2023-24,Proportion of clients that avoided homelessness,All clients,Women and children affected by family and domestic violence(a),77.8,80.6,83.4,80.3,86.0,74.3,65.8,81.1,80.3
2023-24,Proportion of clients that avoided homelessness,All clients,Children and young people,80.3,78.0,81.2,80.1,82.0,69.4,67.9,83.2,79.4
2023-24,Proportion of clients that avoided homelessness,All clients,Indigenous Australians,80.9,74.5,80.9,80.4,83.6,n.p.,n.p.,80.5,79.0
2023-24,Proportion of clients that avoided homelessness,All clients,People exiting institutions and care into homelessness,56.4,65.8,57.5,59.3,68.6,n.p.,n.p.,62.5,63.2
2023-24,Proportion of clients that avoided homelessness,All clients,Older people,87.9,88.4,91.6,89.9,84.0,82.3,n.p.,82.8,88.2
2023-24,Number of clients that avoided homelessness,Females,Women and children affected by family and domestic violence(a),"2,458","5,838","1,613","1,810","1,062",100,75,"1,121","13,987"
