Year,Data type,Sex,Age group,NSW,Vic,Qld,WA,SA,Tas,ACT,NT,National(a)
2023-24,Proportion of clients that avoided homelessness,Females,0 to 9,81.1,82.7,82.6,78.9,82.8,n.p.,n.p.,83.0,81.6
2023-24,Proportion of clients that avoided homelessness,Females,10 to 14,84.5,85.8,87.1,84.7,84.8,n.p.,n.p.,n.p.,85.1
2023-24,Proportion of clients that avoided homelessness,Females,15 to 17,77.0,76.7,74.5,79.4,84.8,n.p.,n.p.,n.p.,77.4
2023-24,Proportion of clients that avoided homelessness,Females,18 to 24,77.0,70.6,76.3,78.3,78.0,n.p.,n.p.,80.4,74.3
2023-24,Proportion of clients that avoided homelessness,Females,25 to 34,83.2,79.7,80.1,81.0,81.2,n.p.,n.p.,80.6,80.1
2023-24,Proportion of clients that avoided homelessness,Females,35 to 44,83.1,82.8,84.6,83.5,78.8,n.p.,n.p.,77.3,82.1
2023-24,Proportion of clients that avoided homelessness,Females,45 to 54,87.6,85.3,88.1,85.2,85.7,n.p.,n.p.,79.9,85.5
2023-24,Proportion of clients that avoided homelessness,Females,55 to 64,86.8,89.8,94.2,88.1,85.8,n.p.,n.p.,n.p.,88.9
2023-24,Proportion of clients that avoided homelessness,Females,65+,93.2,90.1,94.6,90.6,n.p.,n.p.,n.p.,n.p.,90.7
2023-24,Proportion of clients that avoided homelessness,Females,Total,82.6,81.9,83.7,82.7,81.8,77.0,71.0,80.9,81.9
2023-24,Proportion of clients that avoided homelessness,Males,0 to 9,83.7,80.1,84.7,78.7,85.6,n.p.,n.p.,83.4,81.7
2023-24,Proportion of clients that avoided homelessness,Males,10 to 14,87.9,86.0,87.4,83.2,81.0,n.p.,n.p.,n.p.,86.0
2023-24,Proportion of clients that avoided homelessness,Males,15 to 17,78.6,81.5,81.6,n.p.,n.p.,n.p.,n.p.,n.p.,80.9
2023-24,Proportion of clients that avoided homelessness,Males,18 to 24,78.0,69.7,73.9,78.4,77.9,n.p.,n.p.,n.p.,73.2
2023-24,Proportion of clients that avoided homelessness,Males,25 to 34,76.2,74.9,79.1,84.1,76.9,n.p.,n.p.,n.p.,75.6
2023-24,Proportion of clients that avoided homelessness,Males,35 to 44,73.5,73.4,78.1,81.7,75.5,n.p.,n.p.,n.p.,73.9
2023-24,Proportion of clients that avoided homelessness,Males,45 to 54,81.7,74.5,79.8,83.1,74.6,n.p.,n.p.,n.p.,76.4
2023-24,Proportion of clients that avoided homelessness,Males,55 to 64,82.5,83.8,85.7,90.4,n.p.,n.p.,n.p.,n.p.,83.8
2023-24,Proportion of clients that avoided homelessness,Males,65+,91.0,90.1,90.7,92.7,n.p.,n.p.,n.p.,n.p.,89.7
2023-24,Proportion of clients that avoided homelessness,Males,Total,81.0,77.5,82.0,83.2,79.7,65.5,72.5,81.8,79.0
2023-24,Proportion of clients that avoided homelessness,All clients,0 to 9,82.4,81.4,83.7,78.8,84.2,n.p.,n.p.,83.2,81.7
2023-24,Proportion of clients that avoided homelessness,All clients,10 to 14,86.1,85.9,87.3,84.0,82.8,n.p.,n.p.,84.7,85.6
2023-24,Proportion of clients that avoided homelessness,All clients,15 to 17,77.7,78.9,78.0,83.7,83.1,n.p.,n.p.,n.p.,78.9
2023-24,Proportion of clients that avoided homelessness,All clients,18 to 24,77.3,70.3,75.6,78.3,78.0,70.9,n.p.,81.8,74.0
2023-24,Proportion of clients that avoided homelessness,All clients,25 to 34,81.9,78.1,79.9,81.5,80.2,74.8,n.p.,80.2,78.9
2023-24,Proportion of clients that avoided homelessness,All clients,35 to 44,81.0,79.6,82.9,83.2,78.0,64.3,n.p.,76.7,79.8
2023-24,Proportion of clients that avoided homelessness,All clients,45 to 54,85.7,81.2,85.3,84.6,82.5,n.p.,n.p.,78.0,82.4
2023-24,Proportion of clients that avoided homelessness,All clients,55 to 64,85.0,87.2,90.7,88.9,83.8,n.p.,n.p.,80.0,86.8
2023-24,Proportion of clients that avoided homelessness,All clients,65+,92.3,90.1,92.9,91.4,84.3,n.p.,n.p.,n.p.,90.3
2023-24,Proportion of clients that avoided homelessness,All clients,Total,82.1,80.2,83.1,82.9,81.1,72.6,71.5,81.1,80.9
2023-24,Number of clients that avoided homelessness,Females,0 to 9,661,"1,274",445,452,289,n.p.,n.p.,219,"3,335"
2023-24,Number of clients that avoided homelessness,Females,10 to 14,381,593,203,177,89,n.p.,n.p.,79,"1,524"
2023-24,Number of clients that avoided homelessness,Females,15 to 17,519,391,120,127,117,n.p.,n.p.,55,"1,338"
2023-24,Number of clients that avoided homelessness,Females,18 to 24,953,"1,319",483,349,263,51,37,226,"3,658"
2023-24,Number of clients that avoided homelessness,Females,25 to 34,"1,165","3,184",974,811,527,71,47,333,"7,066"
2023-24,Number of clients that avoided homelessness,Females,35 to 44,"1,142","3,330",951,837,460,63,41,259,"7,037"
2023-24,Number of clients that avoided homelessness,Females,45 to 54,807,"2,162",616,514,294,42,27,131,"4,573"
2023-24,Number of clients that avoided homelessness,Females,55 to 64,361,"1,114",324,312,103,28,n.p.,70,"2,322"
2023-24,Number of clients that avoided homelessness,Females,65+,260,801,210,203,60,37,n.p.,34,"1,611"
2023-24,Number of clients that avoided homelessness,Females,Total,"6,249","14,168","4,326","3,782","2,202",298,196,"1,406","32,464"
2023-24,Number of clients that avoided homelessness,Males,0 to 9,687,"1,323",530,413,291,n.p.,n.p.,256,"3,492"
2023-24,Number of clients that avoided homelessness,Males,10 to 14,355,621,229,163,94,n.p.,n.p.,54,"1,516"
2023-24,Number of clients that avoided homelessness,Males,15 to 17,357,353,124,83,75,n.p.,n.p.,n.p.,"1,018"
2023-24,Number of clients that avoided homelessness,Males,18 to 24,460,720,193,80,120,22,n.p.,39,"1,633"
2023-24,Number of clients that avoided homelessness,Males,25 to 34,246,"1,458",238,164,150,27,21,20,"2,311"
2023-24,Number of clients that avoided homelessness,Males,35 to 44,286,"1,544",303,196,142,29,31,n.p.,"2,534"
2023-24,Number of clients that avoided homelessness,Males,45 to 54,348,"1,143",288,201,103,n.p.,20,n.p.,"2,123"
2023-24,Number of clients that avoided homelessness,Males,55 to 64,235,804,204,160,68,26,n.p.,n.p.,"1,513"
2023-24,Number of clients that avoided homelessness,Males,65+,162,583,156,115,42,30,n.p.,n.p.,"1,099"
2023-24,Number of clients that avoided homelessness,Males,Total,"3,136","8,549","2,265","1,575","1,085",156,103,432,"17,239"
2023-24,Number of clients that avoided homelessness,All clients,0 to 9,"1,348","2,597",975,865,580,n.p.,n.p.,475,"6,827"
2023-24,Number of clients that avoided homelessness,All clients,10 to 14,736,"1,214",432,340,183,n.p.,n.p.,133,"3,040"
2023-24,Number of clients that avoided homelessness,All clients,15 to 17,876,744,244,210,192,n.p.,n.p.,70,"2,356"
2023-24,Number of clients that avoided homelessness,All clients,18 to 24,"1,413","2,039",676,429,383,73,46,265,"5,291"
2023-24,Number of clients that avoided homelessness,All clients,25 to 34,"1,411","4,642","1,212",975,677,98,68,353,"9,377"
2023-24,Number of clients that avoided homelessness,All clients,35 to 44,"1,428","4,874","1,254","1,033",602,92,72,277,"9,571"
2023-24,Number of clients that avoided homelessness,All clients,45 to 54,"1,155","3,305",904,715,397,57,47,145,"6,696"
2023-24,Number of clients that avoided homelessness,All clients,55 to 64,596,"1,918",528,472,171,54,25,80,"3,835"
2023-24,Number of clients that avoided homelessness,All clients,65+,422,"1,384",366,318,102,67,n.p.,40,"2,710"
2023-24,Number of clients that avoided homelessness,All clients,Total,"9,385","22,717","6,591","5,357","3,287",454,299,"1,838","49,703"
2023-24,Number of At risk clients,Females,0 to 9,815,"1,541",539,573,349,n.p.,5,264,"4,085"
2023-24,Number of At risk clients,Females,10 to 14,451,691,233,209,105,n.p.,4,96,"1,790"
2023-24,Number of At risk clients,Females,15 to 17,674,510,161,160,138,8,15,62,"1,728"
2023-24,Number of At risk clients,Females,18 to 24,"1,238","1,868",633,446,337,66,58,281,"4,921"
2023-24,Number of At risk clients,Females,25 to 34,"1,400","3,997","1,216","1,001",649,89,68,413,"8,825"
2023-24,Number of At risk clients,Females,35 to 44,"1,374","4,021","1,124","1,002",584,92,54,335,"8,570"
