Month and Year,Month,Year,Sex,Age group,NSW,Vic,Qld,WA,SA,Tas,ACT,NT,National,,
Jun-25,June,2025,Female,0?4 years,"1,148","1,258",958,321,265,45,75,126,"4,187",,
Jun-25,June,2025,Female,5?9 years,848,"1,252",845,262,207,38,65,118,"3,633",,
Jun-25,June,2025,Female,10?14 years,944,"1,119",751,245,196,45,61,116,"3,473",,
Jun-25,June,2025,Female,15?17 years,"1,012",840,599,210,237,99,68,74,"3,136",,
Jun-25,June,2025,Female,18?19 years,962,799,580,182,188,127,66,76,"2,975",,
Jun-25,June,2025,Female,20?24 years,"1,976","1,914","1,364",514,426,147,140,217,"6,675",,
Jun-25,June,2025,Female,25?29 years,"1,286","1,921","1,083",510,410,119,126,186,"5,625",,
Jun-25,June,2025,Female,30?34 years,"1,386","2,372","1,153",605,418,118,118,238,"6,386",,
Jun-25,June,2025,Female,35?39 years,"1,282","2,343","1,111",713,407,96,111,222,"6,272",,
Jun-25,June,2025,Female,40?44 years,"1,073","2,015","1,002",563,368,113,96,204,"5,423",,
Jun-25,June,2025,Female,45?49 years,898,"1,474",731,371,243,69,66,147,"3,990",,
Jun-25,June,2025,Female,50?54 years,728,"1,115",564,327,173,55,53,126,"3,138",,
Jun-25,June,2025,Female,55?59 years,460,771,402,209,105,44,37,93,"2,121",,
Jun-25,June,2025,Female,60?64 years,346,496,274,111,61,37,29,55,"1,406",,
Jun-25,June,2025,Female,65+ years,482,736,435,172,80,113,51,51,"2,120",,
Jun-25,June,2025,Female,All Females,"14,831","20,425","11,852","5,315","3,784","1,265","1,162","2,049","60,560",,
Jun-25,June,2025,Male,0?4 years,"1,103","1,276","1,060",295,306,43,67,144,"4,292",,
Jun-25,June,2025,Male,5?9 years,955,"1,299",948,324,228,37,100,126,"4,014",,
Jun-25,June,2025,Male,10?14 years,797,"1,174",714,246,202,31,52,95,"3,307",,
Jun-25,June,2025,Male,15?17 years,635,667,450,144,152,47,55,60,"2,208",,
Jun-25,June,2025,Male,18?19 years,489,545,364,67,98,63,31,36,"1,691",,
Jun-25,June,2025,Male,20?24 years,862,985,600,130,179,103,54,46,"2,956",,
Jun-25,June,2025,Male,25?29 years,464,785,381,104,169,77,41,49,"2,065",,
Jun-25,June,2025,Male,30?34 years,524,972,416,132,169,89,67,44,"2,401",,
Jun-25,June,2025,Male,35?39 years,530,"1,040",482,176,211,65,67,58,"2,620",,
Jun-25,June,2025,Male,40?44 years,607,"1,023",561,190,216,89,60,63,"2,803",,
Jun-25,June,2025,Male,45?49 years,623,907,520,198,158,91,74,68,"2,632",,
Jun-25,June,2025,Male,50?54 years,573,773,457,205,164,79,58,80,"2,382",,
Jun-25,June,2025,Male,55?59 years,417,607,356,147,134,66,33,74,"1,832",,
Jun-25,June,2025,Male,60?64 years,333,386,230,104,90,73,32,44,"1,291",,
Jun-25,June,2025,Male,65+ years,436,603,393,121,83,134,46,53,"1,869",,
Jun-25,June,2025,Male,All Males,"9,348","13,042","7,932","2,583","2,559","1,087",837,"1,040","38,363",,
Jun-25,June,2025,Total,0?4 years,"2,251","2,534","2,018",616,571,88,142,270,"8,479",,
Jun-25,June,2025,Total,5?9 years,"1,803","2,551","1,793",586,435,75,165,244,"7,647",,
Jun-25,June,2025,Total,10?14 years,"1,741","2,293","1,465",491,398,76,113,211,"6,780",,
Jun-25,June,2025,Total,15?17 years,"1,647","1,507","1,049",354,389,146,123,134,"5,344",,
Jun-25,June,2025,Total,18?19 years,"1,451","1,344",944,249,286,190,97,112,"4,666",,
Jun-25,June,2025,Total,20?24 years,"2,838","2,899","1,964",644,605,250,194,263,"9,631",,
Jun-25,June,2025,Total,25?29 years,"1,750","2,706","1,464",614,579,196,167,235,"7,690",,
Jun-25,June,2025,Total,30?34 years,"1,910","3,344","1,569",737,587,207,185,282,"8,787",,
Jun-25,June,2025,Total,35?39 years,"1,812","3,383","1,593",889,618,161,178,280,"8,892",,
Jun-25,June,2025,Total,40?44 years,"1,680","3,038","1,563",753,584,202,156,267,"8,226",,
Jun-25,June,2025,Total,45?49 years,"1,521","2,381","1,251",569,401,160,140,215,"6,622",,
Jun-25,June,2025,Total,50?54 years,"1,301","1,888","1,021",532,337,134,111,206,"5,520",,
Jun-25,June,2025,Total,55?59 years,877,"1,378",758,356,239,110,70,167,"3,953",,
Jun-25,June,2025,Total,60?64 years,679,882,504,215,151,110,61,99,"2,697",,
Jun-25,June,2025,Total,65+ years,918,"1,339",828,293,163,247,97,104,"3,989",,
Jun-25,June,2025,Total,All Ages,"24,179","33,467","19,784","7,898","6,343","2,352","1,999","3,089","98,923",,
May-25,May,2025,Female,0?4 years,"1,127","1,250",989,287,267,40,76,119,"4,149",,
May-25,May,2025,Female,5?9 years,866,"1,253",866,293,216,36,66,108,"3,700",,
May-25,May,2025,Female,10?14 years,935,"1,170",746,252,201,47,60,121,"3,527",,
May-25,May,2025,Female,15?17 years,"1,068",832,595,212,248,94,74,73,"3,191",,
May-25,May,2025,Female,18?19 years,993,827,592,184,181,123,62,89,"3,047",,
May-25,May,2025,Female,20?24 years,"1,945","1,926","1,356",540,455,143,141,229,"6,716",,
May-25,May,2025,Female,25?29 years,"1,309","1,903","1,109",506,419,130,116,195,"5,676",,
May-25,May,2025,Female,30?34 years,"1,370","2,384","1,146",618,410,118,123,228,"6,374",,
May-25,May,2025,Female,35?39 years,"1,317","2,397","1,185",709,408,86,104,222,"6,409",,
May-25,May,2025,Female,40?44 years,"1,085","2,074",985,556,384,109,95,215,"5,490",,
May-25,May,2025,Female,45?49 years,915,"1,518",749,408,261,67,68,145,"4,122",,
May-25,May,2025,Female,50?54 years,761,"1,118",580,320,179,57,60,123,"3,193",,
