Month and Year,Month,Year,Sex,Client Group,NSW,Vic,Qld,WA,SA,Tas,ACT,NT,National,
Jun-25,June,2025,Female,Number of Indigenous clients,"5,138","3,080","4,175","2,253","1,062",264,218,"1,801","17,947",
Jun-25,June,2025,Female,Number of clients who have experienced family and domestic violence,"6,702","11,107","4,138","3,040","1,249",384,616,928,"28,106",
Jun-25,June,2025,Female,Number of clients with a current mental health issue,"5,306","5,773","2,918","1,489","1,203",567,500,204,"17,933",
Jun-25,June,2025,Female,Number of clients with problematic drug or alcohol issues,911,"1,080",539,504,213,86,81,88,"3,500",
Jun-25,June,2025,Female,Number of nights in short-term/emergency accommodation,"28,141","34,086","91,302","13,093","3,703","7,252","4,914","2,407","184,898",
Jun-25,June,2025,Female,Number of clients accommodated in short-term/emergency accommodation,"1,299","2,220","3,753","1,024",223,349,194,359,"9,414",
Jun-25,June,2025,Female,Number of clients who are homeless,"7,358","8,228","7,052","2,284","1,683",761,540,935,"28,784",
Jun-25,June,2025,Female,Number of clients who are at risk of homelessness,"7,035","11,103","4,551","2,868","1,991",484,595,921,"29,498",
Jun-25,June,2025,Male,Number of Indigenous clients,"3,165","1,957","2,525",988,652,168,131,811,"10,377",
Jun-25,June,2025,Male,Number of clients who have experienced family and domestic violence,"2,249","3,906","1,489",823,319,117,221,223,"9,342",
Jun-25,June,2025,Male,Number of clients with a current mental health issue,"2,896","3,514","1,613",521,678,417,277,104,"10,007",
Jun-25,June,2025,Male,Number of clients with problematic drug or alcohol issues,908,"1,366",573,352,200,155,86,68,"3,706",
Jun-25,June,2025,Male,Number of nights in short-term/emergency accommodation,"20,813","23,231","67,580","10,887","1,808","5,656","2,334","1,916","134,225",
Jun-25,June,2025,Male,Number of clients accommodated in short-term/emergency accommodation,954,"1,821","2,775",665,124,292,110,133,"6,871",
Jun-25,June,2025,Male,Number of clients who are homeless,"5,269","6,640","5,328","1,505","1,355",641,395,693,"21,792",
Jun-25,June,2025,Male,Number of clients who are at risk of homelessness,"3,842","5,774","2,430",963,"1,126",425,427,317,"15,285",
Jun-25,June,2025,Total,Number of Indigenous clients,"8,303","5,037","6,700","3,241","1,714",432,349,"2,612","28,324",
Jun-25,June,2025,Total,Number of clients who have experienced family and domestic violence,"8,951","15,013","5,627","3,863","1,568",501,837,"1,151","37,448",
Jun-25,June,2025,Total,Number of clients with a current mental health issue,"8,202","9,287","4,531","2,010","1,881",984,777,308,"27,940",
Jun-25,June,2025,Total,Number of clients with problematic drug or alcohol issues,"1,819","2,446","1,112",856,413,241,167,156,"7,206",
Jun-25,June,2025,Total,Number of nights in short-term/emergency accommodation,"48,954","57,317","158,882","23,980","5,511","12,908","7,248","4,323","319,123",
Jun-25,June,2025,Total,Number of clients accommodated in short-term/emergency accommodation,"2,253","4,041","6,528","1,689",347,641,304,492,"16,285",
Jun-25,June,2025,Total,Number of clients who are homeless,"12,627","14,868","12,380","3,789","3,038","1,402",935,"1,628","50,576",
Jun-25,June,2025,Total,Number of clients who are at risk of homelessness,"10,877","16,877","6,981","3,831","3,117",909,"1,022","1,238","44,783",
