Month and Year,Month,Year,Sex,Group,Reason for seeking assistance,NSW,Vic,Qld,WA,SA,Tas,ACT,NT,National
Jun-25,June,2025,Female,Accommodation,Accommodation,"8,006","8,695","7,317","1,964","2,642",842,794,778,"30,980"
Jun-25,June,2025,Female,Accommodation,Housing crisis (e.g. eviction),"5,318","5,481","4,664","1,072","2,093",515,544,251,"19,918"
Jun-25,June,2025,Female,Accommodation,Inadequate or inappropriate dwelling conditions,"3,008","4,483","3,615","1,027",467,420,355,511,"13,868"
Jun-25,June,2025,Female,Accommodation,Previous accommodation ended,"2,103","2,282","2,099",622,171,308,205,96,"7,880"
Jun-25,June,2025,Female,Financial,Financial,"6,930","9,145","6,771","2,040","1,043",608,880,508,"27,885"
Jun-25,June,2025,Female,Financial,Financial difficulties,"4,622","6,929","4,936","1,493",595,361,609,325,"19,853"
Jun-25,June,2025,Female,Financial,Housing affordability stress,"4,760","6,176","5,399","1,288",399,488,717,255,"19,461"
Jun-25,June,2025,Female,Financial,Employment difficulties,567,662,467,157,77,32,120,27,"2,108"
Jun-25,June,2025,Female,Financial,Unemployment,"1,314","1,618","1,242",499,297,70,189,90,"5,314"
Jun-25,June,2025,Female,Interpersonal,Interpersonal Relationships,"8,346","12,495","5,356","3,572","1,543",656,752,"1,014","33,670"
Jun-25,June,2025,Female,Interpersonal,Time out from family/other situation,"1,309","1,252",882,567,66,142,214,170,"4,599"
Jun-25,June,2025,Female,Interpersonal,Relationship/family breakdown,"3,558","3,141","2,229","1,250",433,361,446,162,"11,570"
Jun-25,June,2025,Female,Interpersonal,Family and domestic violence,"6,306","10,783","3,936","2,943","1,164",377,541,874,"26,871"
Jun-25,June,2025,Female,Interpersonal,Non-family violence,298,375,186,103,38,49,29,38,"1,115"
Jun-25,June,2025,Female,Health,Health,"3,415","3,691","2,219","1,280","1,024",338,460,151,"12,568"
Jun-25,June,2025,Female,Health,Mental health issues,"2,740","2,860","1,526",850,801,261,361,57,"9,448"
Jun-25,June,2025,Female,Health,Medical issues,"1,082","1,466",938,400,360,110,175,60,"4,590"
Jun-25,June,2025,Female,Health,Problematic drug or substance use,608,761,311,280,143,46,64,33,"2,246"
Jun-25,June,2025,Female,Health,Problematic alcohol use,228,262,162,188,60,14,25,35,973
Jun-25,June,2025,Female,Other,Other,"4,147","4,795","3,498","1,599",731,391,454,602,"16,202"
Jun-25,June,2025,Female,Other,Transition from custodial arrangements,206,260,77,38,49,16,22,6,674
Jun-25,June,2025,Female,Other,Transition from other care arrangements,118,156,89,60,8,14,15,13,473
Jun-25,June,2025,Female,Other,Unable to return home due to environmental reasons,291,263,267,84,62,30,54,8,"1,059"
Jun-25,June,2025,Female,Other,Lack of family and/or community support,"3,066","3,034","2,310","1,035",359,259,370,284,"10,707"
Jun-25,June,2025,Female,Other,Other (not elsewhere classified),716,"1,406",974,414,90,99,83,291,"4,073"
Jun-25,June,2025,Female,Total,Total Clients,"14,831","20,425","11,852","5,315","3,784","1,265","1,162","2,049","60,560"
Jun-25,June,2025,Male,Accommodation,Accommodation,"5,507","6,774","5,422","1,229","1,979",719,501,508,"22,607"
Jun-25,June,2025,Male,Accommodation,Housing crisis (e.g. eviction),"3,491","4,164","3,395",715,"1,598",353,346,123,"14,176"
Jun-25,June,2025,Male,Accommodation,Inadequate or inappropriate dwelling conditions,"2,097","3,706","2,794",686,339,385,249,337,"10,583"
Jun-25,June,2025,Male,Accommodation,Previous accommodation ended,"1,492","1,976","1,566",342,112,278,128,114,"6,005"
Jun-25,June,2025,Male,Financial,Financial,"4,680","6,419","4,838","1,233",789,454,515,320,"19,226"
Jun-25,June,2025,Male,Financial,Financial difficulties,"3,079","4,679","3,444",834,386,260,344,172,"13,185"
