Year,Age groups (years),NSW,Vic.,Qld,SA,WA,Tas.,NT,ACT ,Aust.(b)(c) 
2021,Under 12,"4,232","4,135","3,455","1,345","1,146",325,"2,748",260,"17,646"
2021,12?18,"2,777","2,663","2,117",836,848,244,"1,661",168,"11,302"
2021,19?24,"4,903","4,965","2,719","1,070","1,079",342,"1,590",234,"16,902"
2021,25?34,"8,057","7,097","3,932","1,376","1,788",517,"2,291",437,"25,504"
2021,35?44,"4,885","4,248","3,001","1,037","1,617",287,"1,732",269,"17,085"
2021,45?54,"4,181","3,605","2,808",797,"1,397",234,"1,466",193,"14,678"
2021,55?64,"3,361","2,305","2,341",608,982,189,"1,007",124,"10,933"
2021,65?74,"1,883","1,157","1,555",288,539,164,448,63,"6,091"
2021,75 and over,733,483,503,81,333,38,147,30,"2,348"
2016,Under 12,"3,963","3,372","2,979",804,"1,208",212,"3,132",183,"15,872"
2016,12?18,"2,677","2,010","1,710",638,741,162,"1,899",109,"9,955"
2016,19?24,"6,365","4,360","2,744",953,"1,183",236,"1,647",239,"17,725"
2016,25?34,"8,715","5,502","3,968","1,143","1,859",267,"2,427",336,"24,224"
2016,35?44,"5,041","3,387","2,936",851,"1,290",216,"1,732",266,"15,745"
2016,45?54,"4,537","2,876","2,893",845,"1,218",233,"1,446",220,"14,278"
2016,55?64,"3,626","1,818","2,549",576,891,162,905,155,"10,682"
2016,65?74,"1,939",980,"1,418",302,481,92,376,62,"5,651"
2016,75 and over,846,518,473,123,136,33,141,23,"2,289"
2011,Under 12,"3,609","3,627","3,405",941,"1,493",224,"4,185",287,"17,767"
2011,12?18,"2,587","2,232","1,971",621,918,185,"1,997",209,"10,718"
2011,19?24,"4,043","3,692","2,380",788,"1,245",198,"1,898",242,"14,479"
2011,25?34,"5,153","4,412","3,007","1,032","1,695",242,"2,551",314,"18,411"
2011,35?44,"3,825","3,144","2,586",871,"1,338",234,"1,934",305,"14,225"
2011,45?54,"3,794","2,519","2,313",784,"1,070",190,"1,363",215,"12,247"
2011,55?64,"2,513","1,571","1,980",491,830,148,835,115,"8,478"
2011,65?74,"1,273",741,973,201,415,70,378,43,"4,097"
2011,75 and over,688,371,425,94,192,33,189,18,"2,008"
2006,Under 12,"2,771","2,940","3,278",915,"1,466",167,"4,024",146,"15,717"
2006,12?18,"2,027","1,818","1,886",663,921,124,"2,234",112,"9,786"
2006,19?24,"2,940","2,627","2,433",773,"1,163",139,"1,926",146,"12,158"
2006,25?34,"4,069","3,340","3,126",939,"1,443",208,"2,527",199,"15,852"
2006,35?44,"3,540","2,591","2,802",889,"1,172",174,"1,873",141,"13,179"
2006,45?54,"3,144","1,990","2,250",635,958,147,"1,349",108,"10,577"
2006,55?64,"1,982","1,153","1,803",418,649,110,767,68,"6,952"
2006,65?74,"1,105",540,921,215,339,50,373,23,"3,556"
2006,75 and over,638,406,370,153,160,28,190,13,"1,949"
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
