Year,Category,NHHA priority cohort,NSW,Vic,Qld,WA,SA,Tas,ACT,NT,National(a)
2023–24,Clients who return to homelessness after achieving housing,All clients,"4,183","4,981","2,698","1,275","1,072",608,306,461,"14,740"
2023–24,Percentage of clients who return to homelessness after achieving housing,All clients,10.8,11.3,9.2,11.0,10.8,12.8,12.6,8.5,10.3
2023–24,Clients who remainined to housed after achieving housing,All clients,"34,549.0","39,099.0","26,629.0","10,316.0","8,854.0","4,142.0","2,123.0","4,963.0","128,367.0"
2023–24,Total SHS Client,All clients,"38,732.0","44,080.0","29,327.0","11,591.0","9,926.0","4,750.0","2,429.0","5,424.0","143,107.0"
2022–23,Clients who return to homelessness after achieving housing,All clients,"4,217","5,138","2,600","1,208","1,185",576,265,449,"14,856"
2022–23,Percentage of clients who return to homelessness after achieving housing,All clients,11.3,11.9,9.5,10.9,11.6,12.1,11.0,11.2,10.8
2022–23,Clients who remainined to housed after achieving housing,All clients,"33,102.0","38,039.0","24,769.0","9,875.0","9,031.0","4,185.0","2,145.0","3,560.0","122,700.0"
2022–23,Total SHS Client,All clients,"37,319.0","43,177.0","27,369.0","11,083.0","10,216.0","4,761.0","2,410.0","4,009.0","137,556.0"
2021–22,Clients who return to homelessness after achieving housing,All clients,"4,196","5,262","2,687","1,199","1,290",582,257,455,"15,232"
2021–22,Percentage of clients who return to homelessness after achieving housing,All clients,11.7,12.3,11.0,10.8,13.6,12.0,10.6,12.1,11.5
2021–22,Clients who remainined to housed after achieving housing,All clients,"31,668.0","37,519.0","21,741.0","9,903.0","8,196.0","4,268.0","2,168.0","3,306.0","117,221.0"
2021–22,Total SHS Client,All clients,"35,864.0","42,781.0","24,428.0","11,102.0","9,486.0","4,850.0","2,425.0","3,761.0","132,453.0"
2020–21,Clients who return to homelessness after achieving housing,All clients,"4,366","5,058","2,798","1,225","1,251",566,305,447,"15,241"
2020–21,Percentage of clients who return to homelessness after achieving housing,All clients,12.0,11.5,11.4,11.2,14.2,12.3,12.6,11.8,11.5
2020–21,Clients who remainined to housed after achieving housing,All clients,"32,018.0","38,925.0","21,746.0","9,713.0","7,559.0","4,036.0","2,116.0","3,342.0","117,290.0"
2020–21,Total SHS Client,All clients,"36,384.0","43,983.0","24,544.0","10,938.0","8,810.0","4,602.0","2,421.0","3,789.0","132,531.0"
2019–20,Clients who return to homelessness after achieving housing,All clients,"4,286","5,359","2,907","1,159","1,257",612,320,502,"15,473"
2019–20,Percentage of clients who return to homelessness after achieving housing,All clients,12.2,11.6,11.1,10.8,14.1,13.6,12.7,13.5,11.5
2019–20,Clients who remainined to housed after achieving housing,All clients,"30,846.0","40,840.0","23,283.0","9,573.0","7,658.0","3,888.0","2,200.0","3,217.0","119,075.0"
2019–20,Total SHS Client,All clients,"35,132.0","46,199.0","26,190.0","10,732.0","8,915.0","4,500.0","2,520.0","3,719.0","134,548.0"
2018–19,Clients who return to homelessness after achieving housing,All clients,"4,300","5,670","3,111","1,140","1,368",652,302,551,"15,927"
2018–19,Percentage of clients who return to homelessness after achieving housing,All clients,11.9,12.4,12.4,11.1,14.9,14.5,13.7,13.2,11.9
2018–19,Clients who remainined to housed after achieving housing,All clients,"31,835.0","40,056.0","21,978.0","9,131.0","7,814.0","3,845.0","1,903.0","3,624.0","117,914.0"
2018–19,Total SHS Client,All clients,"36,135.0","45,726.0","25,089.0","10,271.0","9,182.0","4,497.0","2,205.0","4,175.0","133,841.0"
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
